hetman_quantity,solutions
4_hetman,"[3, 1, 4, 2]"
4_hetman,"[2, 4, 1, 3]"
5_hetman,"[5, 3, 1, 4, 2]"
5_hetman,"[5, 2, 4, 1, 3]"
5_hetman,"[4, 2, 5, 3, 1]"
5_hetman,"[4, 1, 3, 5, 2]"
5_hetman,"[3, 5, 2, 4, 1]"
5_hetman,"[3, 1, 4, 2, 5]"
5_hetman,"[2, 5, 3, 1, 4]"
5_hetman,"[2, 4, 1, 3, 5]"
5_hetman,"[1, 4, 2, 5, 3]"
5_hetman,"[1, 3, 5, 2, 4]"
6_hetman,"[5, 3, 1, 6, 4, 2]"
6_hetman,"[4, 1, 5, 2, 6, 3]"
6_hetman,"[3, 6, 2, 5, 1, 4]"
6_hetman,"[2, 4, 6, 1, 3, 5]"
7_hetman,"[7, 5, 3, 1, 6, 4, 2]"
7_hetman,"[7, 4, 1, 5, 2, 6, 3]"
7_hetman,"[7, 3, 6, 2, 5, 1, 4]"
7_hetman,"[7, 2, 4, 6, 1, 3, 5]"
7_hetman,"[6, 4, 7, 1, 3, 5, 2]"
7_hetman,"[6, 4, 2, 7, 5, 3, 1]"
7_hetman,"[6, 3, 7, 4, 1, 5, 2]"
7_hetman,"[6, 3, 5, 7, 1, 4, 2]"
7_hetman,"[6, 3, 1, 4, 7, 5, 2]"
7_hetman,"[6, 2, 5, 1, 4, 7, 3]"
7_hetman,"[6, 1, 3, 5, 7, 2, 4]"
7_hetman,"[5, 7, 2, 6, 3, 1, 4]"
7_hetman,"[5, 7, 2, 4, 6, 1, 3]"
7_hetman,"[5, 3, 1, 6, 4, 2, 7]"
7_hetman,"[5, 2, 6, 3, 7, 4, 1]"
7_hetman,"[5, 1, 6, 4, 2, 7, 3]"
7_hetman,"[5, 1, 4, 7, 3, 6, 2]"
7_hetman,"[4, 7, 5, 2, 6, 1, 3]"
7_hetman,"[4, 7, 3, 6, 2, 5, 1]"
7_hetman,"[4, 6, 1, 3, 5, 7, 2]"
7_hetman,"[4, 2, 7, 5, 3, 1, 6]"
7_hetman,"[4, 1, 5, 2, 6, 3, 7]"
7_hetman,"[4, 1, 3, 6, 2, 7, 5]"
7_hetman,"[3, 7, 4, 1, 5, 2, 6]"
7_hetman,"[3, 7, 2, 4, 6, 1, 5]"
7_hetman,"[3, 6, 2, 5, 1, 4, 7]"
7_hetman,"[3, 5, 7, 2, 4, 6, 1]"
7_hetman,"[3, 1, 6, 4, 2, 7, 5]"
7_hetman,"[3, 1, 6, 2, 5, 7, 4]"
7_hetman,"[2, 7, 5, 3, 1, 6, 4]"
7_hetman,"[2, 6, 3, 7, 4, 1, 5]"
7_hetman,"[2, 5, 7, 4, 1, 3, 6]"
7_hetman,"[2, 5, 3, 1, 7, 4, 6]"
7_hetman,"[2, 5, 1, 4, 7, 3, 6]"
7_hetman,"[2, 4, 6, 1, 3, 5, 7]"
7_hetman,"[2, 4, 1, 7, 5, 3, 6]"
7_hetman,"[1, 6, 4, 2, 7, 5, 3]"
7_hetman,"[1, 5, 2, 6, 3, 7, 4]"
7_hetman,"[1, 4, 7, 3, 6, 2, 5]"
7_hetman,"[1, 3, 5, 7, 2, 4, 6]"
8_hetman,"[8, 4, 1, 3, 6, 2, 7, 5]"
8_hetman,"[8, 3, 1, 6, 2, 5, 7, 4]"
8_hetman,"[8, 2, 5, 3, 1, 7, 4, 6]"
8_hetman,"[8, 2, 4, 1, 7, 5, 3, 6]"
8_hetman,"[7, 5, 3, 1, 6, 8, 2, 4]"
8_hetman,"[7, 4, 2, 8, 6, 1, 3, 5]"
8_hetman,"[7, 4, 2, 5, 8, 1, 3, 6]"
8_hetman,"[7, 3, 8, 2, 5, 1, 6, 4]"
8_hetman,"[7, 3, 1, 6, 8, 5, 2, 4]"
8_hetman,"[7, 2, 6, 3, 1, 4, 8, 5]"
8_hetman,"[7, 2, 4, 1, 8, 5, 3, 6]"
8_hetman,"[7, 1, 3, 8, 6, 4, 2, 5]"
8_hetman,"[6, 8, 2, 4, 1, 7, 5, 3]"
8_hetman,"[6, 4, 7, 1, 8, 2, 5, 3]"
8_hetman,"[6, 4, 7, 1, 3, 5, 2, 8]"
8_hetman,"[6, 4, 2, 8, 5, 7, 1, 3]"
8_hetman,"[6, 4, 1, 5, 8, 2, 7, 3]"
8_hetman,"[6, 3, 7, 4, 1, 8, 2, 5]"
8_hetman,"[6, 3, 7, 2, 8, 5, 1, 4]"
